Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
-0.75	7.26518823577488E-005	0.0143690425	0.0550723783	12.7217193775	0.0728178084
-0.5	7.31248349045396E-005	0.016154396	0.054963854	12.6966502845	0.0724786263
-0.25	7.34876565878531E-005	0.0165087568	0.0550827064	12.7241051689	0.0721661903
0	7.32878560141827E-005	0.0151971326	0.0540220967	12.4791043405	0.0722542686
0.25	7.32901201912685E-005	0.0144906743	0.0553909534	12.795310232	0.0722571341
0.5	7.34768631524996E-005	0.0167934549	0.0545062049	12.590933342	0.0721880844
0.75	7.3194379902194E-005	0.016026329	0.0547143416	12.639012913	0.072386165
1	0.00007308	0.015159099	0.0546613	12.6267603105	0.072461372
1.25	7.28652711183997E-005	0.0155348108	0.0547772098	12.6535354535	0.0726913577
1.5	7.28542834786785E-005	0.0173566652	0.0549008432	12.6820947764	0.0727758879
1.75	7.2817656331395E-005	0.0169238427	0.0552202132	12.7558692422	0.0728287025
2	7.27011315733956E-005	0.0153583618	0.0552833254	12.7704481617	0.0728377588
2.25	0.000072534	0.0167245411	0.0552724981	12.7679470719	0.0730910885
2.5	7.24558959372198E-005	0.0148925608	0.0550620528	12.7193342041	0.0730499765
2.75	7.22613859733829E-005	0.0149908075	0.0542600118	12.5340627344	0.0732837473
3	7.21801251425917E-005	0.0142776364	0.0543558075	12.5561915269	0.07329504
3.25	7.22354573317799E-005	0.0180421453	0.0545227323	12.5947511595	0.0734763116
3.5	7.21838869242645E-005	0.016224605	0.0536228664	12.3868821389	0.0734039056
3.75	7.20812530636022E-005	0.0160676533	0.0549233968	12.6873046535	0.0734566279
4	7.23029292256208E-005	0.0165289256	0.0550240746	12.7105612247	0.0733156881
4.25	7.20241739805335E-005	0.0156327019	0.0550691717	12.720978655	0.073567873
4.5	7.20133735564639E-005	0.0174328694	0.0558510099	12.9015832754	0.0736584132
4.75	7.16244189024608E-005	0.0166550035	0.0546598809	12.626432498	0.0739652616
5	7.09964316894602E-005	0.0156900861	0.0555593536	12.834210683	0.0745720966
5.25	7.06528648854861E-005	0.0162938415	0.0550108412	12.7075043278	0.0749778455
5.5	7.06503382953756E-005	0.0216884008	0.0551267388	12.7342766538	0.0752479768
5.75	7.37720716199332E-005	0.0600893778	0.0546238275	12.6181041532	0.0742248926
6	8.08992499454594E-005	0.1486633933	0.0546956559	12.6346965028	0.0732285775
6.25	9.2885425827242E-005	0.2792057664	0.0643202444	14.8579764602	0.0717722075
6.5	0.0001092672	0.4340344168	0.0684656407	15.8155630069	0.070621926
6.75	0.0001273358	0.5874735909	0.0764706275	17.6647149441	0.0712996854
7	0.0001452649	0.7157176952	0.0796563705	18.4006215761	0.0739702924
7.25	0.0001605761	0.8121937942	0.0990074044	22.8707104154	0.0773243177
7.5	0.0001738707	0.886659436	0.0975852886	22.5422016551	0.0815575299
7.75	0.0001899593	0.955495251	0.0987403139	22.8090125205	0.0855794268
8	0.0002085748	1.0265161817	0.1138603527	26.3017414712	0.0886642238
8.25	0.0002318318	1.1026233519	0.1385280514	31.9999798638	0.0950210621
8.5	0.0002554472	1.1769833163	0.1375684643	31.7783152477	0.100126425
8.75	0.0002841432	1.2626640375	0.1575391974	36.3915545968	0.1078735115
9	0.0003190283	1.353112511	0.156725259	36.2035348323	0.1168302032
9.25	0.0003489242	1.4380456114	0.1594067832	36.8229669183	0.1241989761
9.5	0.0003961292	1.534097849	0.1673485906	38.6575244253	0.1352549409
9.75	0.0004518192	1.6389661488	0.1589537558	36.7183175798	0.1442035341
10	0.0005186762	1.7447644866	0.1634825152	37.7644610202	0.1576818243
10.25	0.0006044067	1.8609226594	0.1617887927	37.3732111176	0.1705234741
10.5	0.0006824025	1.9680130117	0.2260969945	52.2284057204	0.1846273005
10.75	0.0008156179	2.0874457701	0.2266557143	52.3574700011	0.1993126912
11	0.0008722964	2.1951252539	0.226533476	52.3292329662	0.208350469
11.25	0.0010027058	2.3123013458	0.2437133691	56.2977882597	0.2302063812
11.5	0.0011167268	2.4066992135	0.2420774286	55.9198859966	0.2421071184
11.75	0.0012587393	2.5187390069	0.2277813903	52.6175011596	0.2572528662
12	0.0013824906	2.6209508352	0.2365850019	54.6511354294	0.2643889947
12.25	0.0016426164	2.7175841289	0.2843689	65.6892158938	0.2861835539
