# t/tauB Gp_mPa
1.000000000000000000e+00 3.998801130905417500e-02
4.000000000000000000e+00 3.243375471425748169e-02
8.000000000000000000e+00 5.558827734062223719e-02
2.900000000000000000e+01 8.494389978858689350e-02
3.900000000000000000e+01 2.191108964215440214e-01
5.900000000000000000e+01 7.313117244780102943e-01
6.900000000000000000e+01 1.411117847998870634e+00
7.900000000000000000e+01 2.167914822753004067e+00
8.900000000000000000e+01 3.214190327386742041e+00
9.900000000000000000e+01 5.263651936199174486e+00
1.090000000000000000e+02 6.568442812270677500e+00
1.190000000000000000e+02 6.404504884865938941e+00
1.290000000000000000e+02 6.761861385302665894e+00
1.390000000000000000e+02 6.770305066252554127e+00
