# t/tauB rate Stress_mPa
0.000000000000000000e+00 3.079960513326752136e-01 8.923738841417497625e+00
1.000000000000000000e+00 3.032952252858103770e-01 8.883709957040871075e+00
2.000000000000000000e+00 2.712477396021699683e-01 8.593065924653476628e+00
3.000000000000000000e+00 2.248128957973517528e-01 8.104389392753171606e+00
4.000000000000000000e+00 1.754694835680751241e-01 7.459454167724906881e+00
5.000000000000000000e+00 1.320248517367975105e-01 6.719077017890929149e+00
6.000000000000000000e+00 9.429416274230642547e-02 5.843114553038772030e+00
7.000000000000000000e+00 7.772065870872178761e-02 5.340034928832748662e+00
8.000000000000000000e+00 6.071325440369621657e-02 4.697297010138175466e+00
9.000000000000000000e+00 5.082968354820800727e-02 4.234861445671888269e+00
1.000000000000000000e+01 4.366740986459296398e-02 3.839581202450756070e+00
1.100000000000000000e+01 3.213730066122131440e-02 3.041661106929541614e+00
1.200000000000000000e+01 3.195240193918025273e-02 3.026644016323551067e+00
1.300000000000000000e+01 2.628996647313762425e-02 2.518979100585331921e+00
1.400000000000000000e+01 2.322831642383095530e-02 2.196736288388277281e+00
1.500000000000000000e+01 2.322834645669291306e-02 2.196739653408302129e+00
1.600000000000000000e+01 2.105908812103864103e-02 1.941576846104268839e+00
1.700000000000000000e+01 1.902604756511891426e-02 1.677351530845960337e+00
1.800000000000000000e+01 1.874729754771758614e-02 1.638938702693409022e+00
1.900000000000000000e+01 1.619985758366959336e-02 1.258835031627346002e+00
2.000000000000000000e+01 1.748771288147216857e-02 1.457924380780870166e+00
2.100000000000000000e+01 1.545449509776768322e-02 1.136245517894236334e+00
2.200000000000000000e+01 1.433547695605573435e-02 9.406268189241658861e-01
2.300000000000000000e+01 1.472003328912121871e-02 1.009523097631748856e+00
2.400000000000000000e+01 1.450923889689340572e-02 9.719836805982845496e-01
2.500000000000000000e+01 1.302166983766153523e-02 6.904575481663667302e-01
2.600000000000000000e+01 1.394585726004922074e-02 8.689122437972430779e-01
2.700000000000000000e+01 1.275690999291282691e-02 6.369952844431826522e-01
2.800000000000000000e+01 1.251356405698058304e-02 5.868692813840253875e-01
2.900000000000000000e+01 1.131247313287630889e-02 3.242471612918985113e-01
3.000000000000000000e+01 1.264587123397080404e-02 6.142424744471896014e-01
3.100000000000000000e+01 1.197447775544095878e-02 4.722616985428292335e-01
3.200000000000000000e+01 1.559998269072655590e-02 1.160631702017974387e+00
3.300000000000000000e+01 1.074162217791213743e-02 1.894845410136660746e-01
3.400000000000000000e+01 1.028561891051720141e-02 7.658486397087606312e-02
3.500000000000000000e+01 1.052891338323599588e-02 1.374297817549042233e-01
3.600000000000000000e+01 1.072848219355885396e-02 1.862988790534537697e-01
3.700000000000000000e+01 1.095835423983943825e-02 2.414742378909023879e-01
3.800000000000000000e+01 9.997619614377529010e-03 2.671620604634176478e-03
3.900000000000000000e+01 1.064768515795046742e-02 1.666242479805922772e-01
4.000000000000000000e+01 9.353229969145983314e-03 -1.707279699307550636e-01
4.100000000000000000e+01 1.029858202359451233e-02 7.986290433701609404e-02
4.200000000000000000e+01 1.018291174175374458e-02 5.046585599944596739e-02
4.300000000000000000e+01 9.369403336789518255e-03 -1.662314908384857626e-01
4.400000000000000000e+01 1.063889460202307319e-02 1.644746887194831475e-01
4.500000000000000000e+01 1.050326603325415706e-02 1.310823596699036975e-01
4.600000000000000000e+01 1.017947537965945698e-02 4.958742191811538191e-02
4.700000000000000000e+01 9.011967308814945038e-03 -2.674626302009668888e-01
4.800000000000000000e+01 9.688206055128784772e-03 -7.914855677375144671e-02
