# t/tauB Gp_mPa
0.000000000000000000e+00 4.128473532112592742e-02
1.000000000000000000e+00 7.438938017678999037e-02
2.000000000000000000e+00 2.237879795764562141e-01
3.000000000000000000e+00 1.713876692513014444e-01
4.000000000000000000e+00 2.883983654038980160e-01
5.000000000000000000e+00 4.123060162728668376e-01
6.000000000000000000e+00 2.744597506235419426e-01
7.000000000000000000e+00 3.153112127724582159e-01
8.000000000000000000e+00 3.239110311005543030e-01
9.000000000000000000e+00 4.700265747073421596e-01
1.900000000000000000e+01 9.881875091251283161e-01
2.900000000000000000e+01 3.330527070791872823e+00
3.900000000000000000e+01 4.971685281327206773e+00
4.900000000000000000e+01 7.705970261937472365e+00
5.900000000000000000e+01 1.368066328985401370e+01
6.900000000000000000e+01 1.628965864215276582e+01
7.900000000000000000e+01 2.592467284843704078e+01
8.900000000000000000e+01 2.829258486186216359e+01
9.900000000000000000e+01 3.224159752529444489e+01
