# t/tauB Gpp_mPa
0.000000000000000000e+00 8.200734434688324859e-01
1.000000000000000000e+00 7.748488822086825323e-01
2.000000000000000000e+00 7.909349804008078966e-01
3.000000000000000000e+00 9.038669279470255002e-01
4.000000000000000000e+00 8.482318428805630806e-01
5.000000000000000000e+00 9.770319582163948802e-01
6.000000000000000000e+00 1.067361196390509859e+00
7.000000000000000000e+00 1.167611219244612197e+00
8.000000000000000000e+00 1.227841905391503730e+00
9.000000000000000000e+00 1.297755337630452699e+00
1.900000000000000000e+01 2.836159630623546146e+00
2.900000000000000000e+01 4.376473135321071517e+00
3.900000000000000000e+01 6.834382798763058986e+00
4.900000000000000000e+01 9.952939185751469964e+00
5.900000000000000000e+01 1.441754344333383919e+01
6.900000000000000000e+01 1.341681497457889449e+01
7.900000000000000000e+01 1.961007882835678018e+01
8.900000000000000000e+01 1.825927386573982503e+01
9.900000000000000000e+01 1.609631292589291007e+01
