# t/tauB rate Stress_mPa
-7.100000000000000000e+01 8.915701243927180372e-03 1.155462229568973570e-01
-7.000000000000000000e+01 8.934235567773313180e-03 1.209510171728450240e-01
-6.900000000000000000e+01 1.108588924668743071e-02 6.825484427271037990e-01
-6.800000000000000000e+01 1.037146788019896286e-02 5.091769434617594570e-01
-6.700000000000000000e+01 1.077313054499366360e-02 6.080671338391434588e-01
-6.600000000000000000e+01 1.062480177608626786e-02 5.719843960816354267e-01
-6.500000000000000000e+01 9.397603083258539852e-03 2.525495411692633696e-01
-6.400000000000000000e+01 1.074758969495811546e-02 6.018895635987325798e-01
-6.300000000000000000e+01 9.974667511082963706e-03 4.076493363846676043e-01
-6.200000000000000000e+01 1.016431430377080260e-02 4.566678088580889971e-01
-6.100000000000000000e+01 9.511297950604308965e-03 2.838476969118444715e-01
-6.000000000000000000e+01 1.045882167446260565e-02 5.310056476472311271e-01
-5.900000000000000000e+01 1.008668242710795970e-02 4.367135890581065327e-01
-5.800000000000000000e+01 9.990009990009990001e-03 4.116494494285865002e-01
-5.700000000000000000e+01 9.984235417761428907e-03 4.101446161282876757e-01
-5.600000000000000000e+01 1.166333928759062666e-02 8.147023431437766527e-01
-5.500000000000000000e+01 1.721497597296298143e-02 1.827973999260687821e+00
-5.400000000000000000e+01 1.231161112290384170e-02 9.554834111961596488e-01
-5.300000000000000000e+01 1.250794996820012682e-02 9.966609265451048527e-01
-5.200000000000000000e+01 1.318307463321284276e-02 1.133478376731111625e+00
-5.100000000000000000e+01 1.129642457505195333e-02 7.315118637033698468e-01
-5.000000000000000000e+01 1.258362535839439335e-02 1.012359746193773224e+00
-4.900000000000000000e+01 1.121982346059768182e-02 7.138034490571959489e-01
-4.800000000000000000e+01 1.011768464774482137e-02 4.447006470250377541e-01
-4.700000000000000000e+01 9.381459691524884209e-03 2.480748824056145940e-01
-4.600000000000000000e+01 1.126657234187496658e-02 7.246250356858283670e-01
-4.500000000000000000e+01 1.065225376502072774e-02 5.787002535723104746e-01
-4.400000000000000000e+01 1.075833114668066186e-02 6.044893874099994679e-01
-4.300000000000000000e+01 1.163095300466285981e-02 8.074654725341103845e-01
-4.200000000000000000e+01 9.737200293163019577e-03 3.449394751016675587e-01
-4.100000000000000000e+01 1.004341685410890805e-02 4.255260090365724501e-01
-4.000000000000000000e+01 1.081843838193791152e-02 6.189898012128097760e-01
-3.900000000000000000e+01 1.035402395021701658e-02 5.047958901813075494e-01
-3.800000000000000000e+01 9.399968666771110412e-03 2.532045927194488399e-01
-3.700000000000000000e+01 1.292676570237164500e-02 1.082379374887290746e+00
-3.600000000000000000e+01 8.685188091874639776e-03 4.737126601186112534e-02
-3.500000000000000000e+01 1.063552473802200152e-02 5.746097255542661486e-01
-3.400000000000000000e+01 1.039435884042830965e-02 5.149148557346020505e-01
-3.300000000000000000e+01 1.112736391181694783e-02 6.922671873335765058e-01
-3.200000000000000000e+01 9.621418113365405242e-03 3.138071552302248990e-01
-3.100000000000000000e+01 1.116618836420558286e-02 7.013321380224837309e-01
-3.000000000000000000e+01 1.031196291859799025e-02 4.942018085774566027e-01
-2.900000000000000000e+01 9.949989581162742291e-03 4.012023458014113975e-01
-2.800000000000000000e+01 1.129855253566593859e-02 7.320020832500376828e-01
-2.700000000000000000e+01 1.043950307965340815e-02 5.261938968532233751e-01
-2.600000000000000000e+01 1.021684737281067581e-02 4.700844481601127445e-01
-2.500000000000000000e+01 9.946880533277783001e-03 4.003889880822990022e-01
-2.400000000000000000e+01 1.281386179705333063e-02 1.059548026417028721e+00
-2.300000000000000000e+01 1.044807152510656041e-02 5.283291677936294839e-01
-2.200000000000000000e+01 1.302137372898941672e-02 1.101357907408367032e+00
-2.100000000000000000e+01 1.189981292870505129e-02 8.669423076896293212e-01
-2.000000000000000000e+01 1.427906254850225092e-02 1.341324106959140394e+00
-1.900000000000000000e+01 1.182082123600165964e-02 8.496084321802271910e-01
-1.800000000000000000e+01 1.378918556008882843e-02 1.250467863174921312e+00
-1.700000000000000000e+01 1.285957754480194191e-02 1.068816776599123219e+00
-1.600000000000000000e+01 1.493382769452598034e-02 1.458011170378525012e+00
-1.500000000000000000e+01 1.317957166392092275e-02 1.132786726903671104e+00
-1.400000000000000000e+01 1.274998714719037529e-02 1.046542074722286220e+00
-1.300000000000000000e+01 1.409392520960855988e-02 1.307358916582537889e+00
-1.200000000000000000e+01 1.301574236032513633e-02 1.100232110555596554e+00
-1.100000000000000000e+01 1.304236200256739427e-02 1.105549500248653727e+00
-1.000000000000000000e+01 1.315992391918984275e-02 1.128903933555966077e+00
-9.000000000000000000e+00 1.137006739723208336e-02 7.484235371358842759e-01
-8.000000000000000000e+00 1.219512195121951262e-02 9.307409811775988473e-01
-7.000000000000000000e+00 1.375911284526131970e-02 1.244785657194569906e+00
-6.000000000000000000e+00 1.045367938616818641e-02 5.297257082802938610e-01
-5.000000000000000000e+00 1.227088360630487242e-02 9.468595587921058154e-01
-4.000000000000000000e+00 1.424326262936776236e-02 1.334790751463384106e+00
-3.000000000000000000e+00 1.336816226183159227e-02 1.169764336231841062e+00
-2.000000000000000000e+00 1.900309943600426640e-02 2.085170060545046056e+00
-1.000000000000000000e+00 2.527183357330817573e-02 2.827143688816642797e+00
0.000000000000000000e+00 3.259134028364797653e-02 3.489133297440604409e+00
1.000000000000000000e+00 3.775997272417320333e-02 3.872245171208545944e+00
2.000000000000000000e+00 3.887272864644327613e-02 3.947833587912875863e+00
3.000000000000000000e+00 4.003915810083211180e-02 4.024779690332857207e+00
4.000000000000000000e+00 3.847677247779097975e-02 3.921187568935596168e+00
5.000000000000000000e+00 3.385306224273419012e-02 3.587987790335292360e+00
6.000000000000000000e+00 2.850426094622391868e-02 3.140401803448663820e+00
7.000000000000000000e+00 2.494250470416056742e-02 2.793004969187789399e+00
8.000000000000000000e+00 2.298895899053627831e-02 2.580737971314825074e+00
9.000000000000000000e+00 2.097138554216867318e-02 2.341674942392938163e+00
1.000000000000000000e+01 1.984945536134332181e-02 2.198577386511184173e+00
1.100000000000000000e+01 1.869518118600831807e-02 2.042653072765914679e+00
1.200000000000000000e+01 1.799293862031504584e-02 1.943008492068850623e+00
1.300000000000000000e+01 1.698984914471178553e-02 1.793714178014872651e+00
1.400000000000000000e+01 1.686564029660263947e-02 1.774617214026930290e+00
1.500000000000000000e+01 1.670459573930084193e-02 1.749646329194249228e+00
1.600000000000000000e+01 2.012482684555401760e-02 2.234435224784181884e+00
1.700000000000000000e+01 1.481253841425937343e-02 1.436787042679801729e+00
1.800000000000000000e+01 1.484747592909205390e-02 1.442918444758636509e+00
1.900000000000000000e+01 1.403042386648943943e-02 1.295606149956111341e+00
2.000000000000000000e+01 1.465249339258226612e-02 1.408513614551897497e+00
2.100000000000000000e+01 1.380299878040031590e-02 1.253073703707434206e+00
2.200000000000000000e+01 1.382998340401991530e-02 1.258156792416252001e+00
2.300000000000000000e+01 1.288547646786350996e-02 1.074053106347895747e+00
2.400000000000000000e+01 1.308161761639303235e-02 1.113371210183819793e+00
2.500000000000000000e+01 1.317329001885831491e-02 1.131545976108768503e+00
2.600000000000000000e+01 1.263991263991263991e-02 1.023975407360590451e+00
2.700000000000000000e+01 1.277194501569433975e-02 1.051020400467196136e+00
2.800000000000000000e+01 1.233872481961320773e-02 9.612088003320522489e-01
2.900000000000000000e+01 1.369570440772085312e-02 1.232763892871598710e+00
3.000000000000000000e+01 1.171371208998683681e-02 8.259185496468329779e-01
3.100000000000000000e+01 1.191290169883763711e-02 8.698033805647490402e-01
3.200000000000000000e+01 1.192933859461154517e-02 8.733918706648632346e-01
3.300000000000000000e+01 1.170190659255026210e-02 8.232942245483858557e-01
3.400000000000000000e+01 1.155232791037254236e-02 7.898121323709262898e-01
3.500000000000000000e+01 1.176259085188894812e-02 8.367560733959555908e-01
3.600000000000000000e+01 1.211834258951193996e-02 9.143033952508052842e-01
3.700000000000000000e+01 1.185362682743413588e-02 8.568212876503831232e-01
3.800000000000000000e+01 1.210537001319663027e-02 9.115158333923778500e-01
3.900000000000000000e+01 1.113574459998733189e-02 6.942266312706919518e-01
4.000000000000000000e+01 1.172284124320163538e-02 8.279461189981697222e-01
4.100000000000000000e+01 1.054722365394043793e-02 5.529114516889666042e-01
4.200000000000000000e+01 1.158513699487051171e-02 7.971931726125202067e-01
4.300000000000000000e+01 1.094266641711897151e-02 6.487052529478672946e-01
4.400000000000000000e+01 1.156558182338237283e-02 7.927963778374492732e-01
4.500000000000000000e+01 1.095085138838936857e-02 6.506512428120719838e-01
4.600000000000000000e+01 1.113902743913759187e-02 6.949937724257161387e-01
4.700000000000000000e+01 1.056116209839791549e-02 5.563486001632091948e-01
4.800000000000000000e+01 1.116423501577287064e-02 7.008768128033716627e-01
4.900000000000000000e+01 1.097236589330574837e-02 6.557594223252407595e-01
5.000000000000000000e+01 1.116954609127325526e-02 7.021146375792590710e-01
5.100000000000000000e+01 1.040530437660093337e-02 5.176540303647313435e-01
5.200000000000000000e+01 1.114301423422322732e-02 6.959251116192878284e-01
5.300000000000000000e+01 1.606105897630656990e-02 1.647399627545825362e+00
5.400000000000000000e+01 1.103750046092012022e-02 6.711634517604001537e-01
5.500000000000000000e+01 1.275172717918565332e-02 1.046897236974493550e+00
5.600000000000000000e+01 1.118132608322923612e-02 7.048580399039477973e-01
5.700000000000000000e+01 1.243306682314970942e-02 9.810326830362590123e-01
5.800000000000000000e+01 1.162136373645193677e-02 8.053188375474955585e-01
5.900000000000000000e+01 1.157585294153523452e-02 7.951066673944976460e-01
6.000000000000000000e+01 1.242281413277796127e-02 9.788856058893738998e-01
6.100000000000000000e+01 1.058542646234804027e-02 5.623212592944759614e-01
6.200000000000000000e+01 1.157607045247494720e-02 7.951555701094775719e-01
6.300000000000000000e+01 1.183208891699297043e-02 8.520880739107284940e-01
6.400000000000000000e+01 9.577238542604716437e-03 3.018289883390338213e-01
6.500000000000000000e+01 8.715094543749773992e-03 5.631765874356078200e-02
6.600000000000000000e+01 9.224539671510548905e-03 2.041738641530947695e-01
6.700000000000000000e+01 9.468858110777260764e-03 2.722087516971766208e-01
6.800000000000000000e+01 9.919471599679322710e-03 3.932075201060270531e-01
6.900000000000000000e+01 9.292924460603741929e-03 2.233967646135901763e-01
7.000000000000000000e+01 9.352603917821309537e-03 2.400573630063841946e-01
7.100000000000000000e+01 8.733728657845440946e-03 6.187646728572009092e-02
7.200000000000000000e+01 9.563736407703393380e-03 2.981572019897639758e-01
7.300000000000000000e+01 9.412830044800304594e-03 2.567631429901678919e-01
7.400000000000000000e+01 8.237016581161989842e-03 -9.051716071236913519e-02
7.500000000000000000e+01 8.710946320130247625e-03 5.507857008151483685e-02
7.600000000000000000e+01 9.189343211283658094e-03 1.942245513948477054e-01
7.700000000000000000e+01 9.049290763318942540e-03 1.542534720381298630e-01
7.800000000000000000e+01 8.555313299838846613e-03 8.158982720835433397e-03
7.900000000000000000e+01 9.471827233871254331e-03 2.730247165650343533e-01
8.000000000000000000e+01 8.753953493881709916e-03 6.789640357426736383e-02
8.100000000000000000e+01 8.941454760496746895e-03 1.230531723903577623e-01
8.200000000000000000e+01 8.778156350558395313e-03 7.508214631705055486e-02
8.300000000000000000e+01 8.492920594741012671e-03 -1.089103141301783415e-02
8.400000000000000000e+01 8.630766142838589700e-03 3.101184101601314400e-02
8.500000000000000000e+01 8.677301076409767513e-03 4.500676405661498819e-02
8.600000000000000000e+01 9.214309280294104287e-03 2.012858625987192229e-01
8.700000000000000000e+01 8.356644594738147497e-03 -5.299074023897389074e-02
8.800000000000000000e+01 8.312110922467459348e-03 -6.689747937929997612e-02
8.900000000000000000e+01 8.694730145265613247e-03 5.022907435580319102e-02
9.000000000000000000e+01 8.750132488547101087e-03 6.676014504574645514e-02
9.100000000000000000e+01 8.993102149398498127e-03 1.380430422438323756e-01
9.200000000000000000e+01 8.442843012575950920e-03 -2.628245455032618763e-02
9.300000000000000000e+01 8.640349846001928527e-03 3.390020513051155565e-02
9.400000000000000000e+01 8.532242710573635300e-03 1.131206193724377737e-03
9.500000000000000000e+01 1.069676384564581528e-02 5.895525102653557115e-01
9.600000000000000000e+01 7.669581659182226133e-03 -2.762813576987454556e-01
9.700000000000000000e+01 9.034271567856765051e-03 1.499303079001815531e-01
9.800000000000000000e+01 8.197972822193250533e-03 -1.028829532121143253e-01
9.900000000000000000e+01 8.610677709606653560e-03 2.494710958764318268e-02
1.000000000000000000e+02 8.227751667233154306e-03 -9.344619702455012056e-02
1.010000000000000000e+02 8.636853700839075901e-03 3.284689816605246976e-02
1.020000000000000000e+02 9.081747445392331780e-03 1.635714323269276405e-01
1.030000000000000000e+02 8.839183137558322828e-03 9.311318986126132513e-02
1.040000000000000000e+02 8.454205410222435241e-03 -2.278221196815787344e-02
1.050000000000000000e+02 8.139031045426332531e-03 -1.216627824428295757e-01
1.060000000000000000e+02 8.642264062682727260e-03 3.447673340782919649e-02
1.070000000000000000e+02 8.240313248787330125e-03 -8.947573744397184503e-02
1.080000000000000000e+02 8.388634451817927537e-03 -4.304677993263344299e-02
1.090000000000000000e+02 8.575768197219300892e-03 1.437413356077704880e-02
1.100000000000000000e+02 7.785649154801150586e-03 -2.371898675153258917e-01
1.110000000000000000e+02 9.235906776890383946e-03 2.073790017921333384e-01
1.120000000000000000e+02 8.431663762556863839e-03 -2.973087798607676815e-02
1.130000000000000000e+02 8.504970968608712920e-03 -7.200877481981005947e-03
1.140000000000000000e+02 7.818608287724784431e-03 -2.261954491232120723e-01
1.150000000000000000e+02 8.903183703910874311e-03 1.118896227526469805e-01
1.160000000000000000e+02 1.029466879040569736e-02 4.898333249781032794e-01
1.170000000000000000e+02 8.205959005423681119e-03 -1.003488150343981311e-01
1.180000000000000000e+02 8.676688397261711483e-03 4.482299486144904893e-02
1.190000000000000000e+02 8.456881568664045834e-03 -2.195849266087784163e-02
1.200000000000000000e+02 8.324589017138860070e-03 -6.299338671619876540e-02
1.210000000000000000e+02 8.350803633822501820e-03 -5.481049614209945742e-02
1.220000000000000000e+02 8.749752420454148458e-03 6.664709645252729631e-02
1.230000000000000000e+02 8.867706864607246414e-03 1.014981943841343076e-01
1.240000000000000000e+02 8.451755050652242848e-03 -2.353665927979758932e-02
1.250000000000000000e+02 8.351776354105997988e-03 -5.450735606600611710e-02
1.260000000000000000e+02 1.010643891154237167e-02 4.418062562212634603e-01
1.270000000000000000e+02 7.916896014615808219e-03 -1.936819870352052553e-01
1.280000000000000000e+02 7.961950503013418001e-03 -1.789127105686444674e-01
1.290000000000000000e+02 8.757035865469600319e-03 6.881265203118809570e-02
1.300000000000000000e+02 8.665511265164644455e-03 4.146820590395317724e-02
1.310000000000000000e+02 8.128757660685419911e-03 -1.249499665661451403e-01
1.320000000000000000e+02 8.236045768716965948e-03 -9.082392156506742531e-02
1.330000000000000000e+02 8.709182962515675877e-03 5.455167036092750665e-02
