Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
3	0.000102341	0.0036656145	0.0362351723	7.319504814	0.0764901516
3.1666666667	0.0001029719	0.0049114908	0.0358951025	7.2508107133	0.0760946236
3.3333333333	0.000103171	0.0065493246	0.0362906546	7.3307122342	0.0760656196
3.5	0.0001030794	0.003691929	0.0367453011	7.4225508138	0.0759383296
3.6666666667	0.0001031844	0.0051266277	0.036115119	7.2952540375	0.0759236022
3.8333333333	0.0001031522	0.0051240008	0.0374477107	7.5644375516	0.0759892061
4	0.0001033659	0.0049311691	0.0364495859	7.362816343	0.0758012572
4.1666666667	0.000103514	0.0057542129	0.0367417282	7.4218291003	0.0757747126
4.3333333333	0.0001034498	0.0057506675	0.0360031279	7.2726318291	0.075820131
4.5	0.00010312	0.0055310868	0.0354188544	7.1546085944	0.0760100507
4.6666666667	0.0001033005	0.0055384615	0.0373565802	7.5460291931	0.0759167719
4.8333333333	0.0001031321	0.0038974359	0.0357257814	7.2166078385	0.0759305302
5	0.0001031306	0.0051219012	0.037859495	7.6476179843	0.0760100163
5.1666666667	0.0001031045	0.008374183	0.0366526413	7.4038335509	0.0759761227
5.3333333333	0.000103355	0.0051350519	0.0367162575	7.416684015	0.0758011109
5.5	0.0001031745	0.0045137464	0.0365948616	7.3921620503	0.0759156604
5.6666666667	0.0001030143	0.0057324189	0.031768147	6.4171656968	0.0760482016
5.8333333333	0.000102447	0.0032656394	0.0314481471	6.3525257171	0.0763333259
6	0.0001023611	0.0054950646	0.0318667109	6.4370756074	0.0765117546
6.1666666667	0.0001021517	0.0054827901	0.0333099002	6.7285998476	0.0766983067
6.3333333333	0.000101447	0.0054451951	0.0335759357	6.7823390098	0.0772061678
6.5	0.0001008943	0.0056162872	0.0314643348	6.355795636	0.0775982535
6.6666666667	0.0001021882	0.025286212	0.0362711957	7.3267815297	0.0775180603
6.8333333333	0.0001090915	0.0831926933	0.0571961174	11.5536157086	0.0766669955
7	0.0001243632	0.18956591	0.0765664984	15.4664326683	0.0755131452
7.1666666667	0.0001482213	0.3427610759	0.0840543084	16.9789703041	0.0771836041
7.3333333333	0.0001789898	0.5111045306	0.0980745487	19.8110588401	0.079844863
7.5	0.0002133967	0.6801220833	0.1076247653	21.7402025854	0.0843868748
7.6666666667	0.0002461017	0.8163747294	0.103274723	20.8614940432	0.0885461134
7.8333333333	0.000282001	0.9392569294	0.1480302406	29.9021085962	0.0954668687
8	0.0003109387	1.0332646453	0.1085967237	21.9365381858	0.0999932895
8.1666666667	0.0003488138	1.1250738625	0.1237379035	24.9950565047	0.1081016885
8.3333333333	0.000387307	1.2037401575	0.1513678454	30.5763047807	0.1165408521
