Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
-4.5	0.000368675	0.0116533139	0.0506430301	6.4823078538	0.0621413256
-4.4	0.0003707108	0.0131627057	0.0473371619	6.0591567253	0.0617899175
-4.3	0.0003704503	0.011708745	0.0495292758	6.3397472961	0.0618445833
-4.2	0.0003737424	0.01472212	0.0501029599	6.4131788616	0.0613746035
-4.1	0.0003760141	0.0126159555	0.0505017149	6.4642195026	0.0609419408
-4	0.000375583	0.0133333333	0.0505593776	6.4716003345	0.061012171
-3.9	0.0003807298	0.0135135135	0.0500991282	6.4126884118	0.0601928409
-3.8	0.0003784327	0.0126960418	0.0508642696	6.5106265102	0.0605634079
-3.7	0.0003794451	0.0119895092	0.0493263054	6.3137670918	0.0603877409
-3.6	0.0003765876	0.0119003347	0.0514415258	6.5845153032	0.0608580335
-3.5	0.0003781466	0.0126865672	0.0508585157	6.5098900144	0.0605984882
-3.4	0.0003771408	0.0133878765	0.0514753562	6.588845591	0.060766479
-3.3	0.0003795739	0.0134730539	0.0505585805	6.4714982981	0.0604399866
-3.2	0.0003777105	0.0134078212	0.052001587	6.6562031386	0.0606806072
-3.1	0.0003794299	0.0134680135	0.0503525656	6.4451283928	0.0603937568
-3	0.000375442	0.0133283969	0.0504807901	6.4615411302	0.0610370352
-2.9	0.000377409	0.0148643627	0.0503422382	6.4438064837	0.060798257
-2.8	0.0003803034	0.0127579737	0.0526419602	6.7381709025	0.0602756927
-2.7	0.0003817624	0.0120618168	0.0497201685	6.3641815743	0.0600414733
-2.6	0.0003789986	0.0134529148	0.04909482	6.2841369601	0.0604705846
-2.5	0.0003788384	0.014919806	0.0498833701	6.3850713735	0.0605731656
-2.4	0.0003785683	0.0134378499	0.0504783731	6.4612317539	0.0605424696
-2.3	0.0003777182	0.0126723817	0.0512983193	6.5661848723	0.060681813
-2.2	0.0003768714	0.0119091924	0.050459606	6.4588295637	0.0608193934
-2.1	0.0003757241	0.0133382734	0.0505305787	6.4679140721	0.0610011657
-2	0.0003758653	0.0133432172	0.050268723	6.4343965443	0.06098371
-1.9	0.0003757388	0.0118738404	0.0504542526	6.4581443327	0.0610075469
-1.8	0.0003770135	0.0119136262	0.0499395628	6.3922640399	0.0607895999
-1.7	0.0003767295	0.0119047619	0.0506563772	6.4840162794	0.0608331776
-1.6	0.0003775679	0.0134028295	0.0506075451	6.4777657671	0.0607744351
-1.5	0.0003755977	0.0118694362	0.0513397987	6.5714942322	0.0610151977
-1.4	0.0003743325	0.0118299445	0.0500705672	6.4090326016	0.0612239121
-1.3	0.0003758728	0.012611276	0.0505284608	6.4676429847	0.0609834187
-1.2	0.0003744502	0.0140221402	0.0517295452	6.6213817793	0.06127393
-1.1	0.0003762971	0.0126253249	0.0521303494	6.6726847171	0.0609105054
-1	0.000375849	0.014803849	0.0503707143	6.4474514345	0.061048157
-0.9	0.0003767223	0.0126394052	0.0484689337	6.2040235152	0.0608291287
-0.8	0.0003755977	0.0118694362	0.0507072641	6.490529802	0.0610222962
-0.7	0.0003755977	0.0118694362	0.0497369282	6.3663268147	0.0610229663
-0.6	0.0003727833	0.0132352941	0.0512032985	6.5540222086	0.0614799804
-0.5	0.0003750272	0.0125832717	0.0507306671	6.4935253907	0.0611159365
-0.4	0.0003758728	0.012611276	0.0519466818	6.6491752705	0.0609842066
-0.3	0.0003740454	0.0125507567	0.0512525802	6.5603302593	0.0612772332
-0.2	0.0003754495	0.0125972582	0.0500725614	6.4092878613	0.0610429803
-0.1	0.0003736333	0.0118081181	0.0490077442	6.2729912588	0.0613352195
6.38378239159465E-016	0.0003741924	0.0118255728	0.0508229255	6.5053344606	0.061252351
0.1	0.0003732216	0.0110660273	0.0500959931	6.4122871115	0.0613832727
0.2	0.0003733609	0.0110701107	0.0517539205	6.6245018261	0.0613714503
0.3	0.0003726653	0.0110497238	0.0528823595	6.7689420148	0.0614947366
0.4	0.0003712819	0.0110091743	0.0518167537	6.6325444757	0.0617067181
0.5	0.0003733609	0.0110701107	0.0528144717	6.7602523786	0.0613805604
0.6	0.0003700322	0.0124178232	0.0507125256	6.4912032783	0.0619277174
0.7	0.0003699022	0.0116916332	0.0514195492	6.5817022958	0.0619555781
0.8	0.0003715443	0.0124679135	0.0506828128	6.4874000442	0.0616852721
0.9	0.0003705658	0.0138787436	0.0506169086	6.4789643034	0.0619060305
1	0.0003726518	0.0125045973	0.0495532599	6.3428172675	0.0614915016
1.1	0.0003697586	0.0124087591	0.0514700923	6.5881718085	0.061983497
1.2	0.0003726518	0.0125045973	0.0501115735	6.4142814095	0.0614962712
1.3	0.0003715577	0.0110172604	0.0514291754	6.5829344521	0.0616816815
1.4	0.0003722426	0.0117647059	0.0493330959	6.3146362788	0.0615695641
1.5	0.0003725056	0.0132255694	0.0515381899	6.5968883069	0.0615785964
1.6	0.0003725265	0.0110456554	0.0510722624	6.5372495916	0.0615004098
1.7	0.0003726444	0.01323043	0.0519491458	6.6494906572	0.0615568129
1.8	0.0003710064	0.0110011001	0.0520415472	6.6613180377	0.0617580651
1.9	0.0003710064	0.0110011001	0.0506494568	6.4831304681	0.0617502799
2	0.000368675	0.0116533139	0.0502604295	6.4333349741	0.0621330716
2.1	0.0003700455	0.0109729334	0.0514280415	6.5827893109	0.0619242443
2.2	0.000370594	0.010989011	0.0514937503	6.5912000425	0.061819889
2.3	0.0003700455	0.0109729334	0.0503250401	6.4416051312	0.0619092164
