# t/tauB Gp_mPa
1.000000000000000000e+00 2.665182717996397027e-02
5.000000000000000000e+00 1.936553335587502811e-02
7.000000000000000000e+00 2.182842370239073890e-02
8.000000000000000000e+00 2.223467013761526445e-02
3.900000000000000000e+01 1.420487771214231643e-01
5.900000000000000000e+01 7.568551403192440574e-01
6.900000000000000000e+01 1.406340300255561893e+00
7.900000000000000000e+01 2.215390384720548500e+00
8.900000000000000000e+01 3.230025614175857207e+00
9.900000000000000000e+01 5.238734467334182909e+00
1.090000000000000000e+02 6.508905874775693157e+00
1.190000000000000000e+02 6.511485059448751223e+00
1.290000000000000000e+02 6.750148159576270679e+00
1.390000000000000000e+02 6.759253424079589401e+00
