# t/tauB Gpp_mPa
0.000000000000000000e+00 5.432284649598633219e-01
1.000000000000000000e+00 4.941353435213131085e-01
2.000000000000000000e+00 4.355106182631120482e-01
3.000000000000000000e+00 4.381752582087766190e-01
4.000000000000000000e+00 4.507898897873076627e-01
5.000000000000000000e+00 5.071473607488945490e-01
6.000000000000000000e+00 4.721501948636979140e-01
7.000000000000000000e+00 5.133194360953492463e-01
8.000000000000000000e+00 5.385230489352854644e-01
9.000000000000000000e+00 5.423721364155789093e-01
1.900000000000000000e+01 6.615931866618541823e-01
2.900000000000000000e+01 7.161370587356781225e-01
3.900000000000000000e+01 1.218401606919101932e+00
5.900000000000000000e+01 1.683339284364764987e+00
6.900000000000000000e+01 2.239985125604089244e+00
7.900000000000000000e+01 2.872589665835332706e+00
8.900000000000000000e+01 3.678932618067825899e+00
9.900000000000000000e+01 4.589903691735655045e+00
1.090000000000000000e+02 5.537357493980165302e+00
1.190000000000000000e+02 5.987917263393814693e+00
1.290000000000000000e+02 5.727936071441000365e+00
1.390000000000000000e+02 4.716795473310431142e+00
