# t/tauB rate Stress_mPa
0.000000000000000000e+00 3.079960513326752136e-01 9.709888063967081706e+00
1.000000000000000000e+00 3.032952252858103770e-01 9.666332779177867707e+00
2.000000000000000000e+00 2.712477396021699683e-01 9.350084055286107088e+00
3.000000000000000000e+00 2.248128957973517528e-01 8.818356882565989707e+00
4.000000000000000000e+00 1.754694835680751241e-01 8.116605189153686339e+00
5.000000000000000000e+00 1.320248517367975105e-01 7.311003481420948802e+00
6.000000000000000000e+00 9.429416274230642547e-02 6.357871881191365482e+00
7.000000000000000000e+00 7.772065870872178761e-02 5.810472755655417210e+00
8.000000000000000000e+00 6.071325440369621657e-02 5.111111943343686903e+00
9.000000000000000000e+00 5.082968354820800727e-02 4.607937472691895131e+00
1.000000000000000000e+01 4.366740986459296398e-02 4.177834464997285835e+00
1.100000000000000000e+01 3.213730066122131440e-02 3.309620485500075038e+00
1.200000000000000000e+01 3.195240193918025273e-02 3.293280443347132103e+00
1.300000000000000000e+01 2.628996647313762425e-02 2.740892078624618478e+00
1.400000000000000000e+01 2.322831642383095530e-02 2.390260836333091277e+00
1.500000000000000000e+01 2.322834645669291306e-02 2.390264497799249988e+00
1.600000000000000000e+01 2.105908812103864103e-02 2.112622767013657921e+00
1.700000000000000000e+01 1.902604756511891426e-02 1.825120153992650929e+00
1.800000000000000000e+01 1.874729754771758614e-02 1.783323294155095384e+00
1.900000000000000000e+01 1.619985758366959336e-02 1.369733859912062979e+00
2.000000000000000000e+01 1.748771288147216857e-02 1.586362263024508668e+00
2.100000000000000000e+01 1.545449509776768322e-02 1.236344651944657702e+00
2.200000000000000000e+01 1.433547695605573435e-02 1.023492650785406299e+00
2.300000000000000000e+01 1.472003328912121871e-02 1.098458443281440600e+00
2.400000000000000000e+01 1.450923889689340572e-02 1.057611938933985307e+00
2.500000000000000000e+01 1.302166983766153523e-02 7.512843691144637237e-01
2.600000000000000000e+01 1.394585726004922074e-02 9.454602801152254266e-01
2.700000000000000000e+01 1.275690999291282691e-02 6.931122726845387882e-01
2.800000000000000000e+01 1.251356405698058304e-02 6.385703494561831839e-01
2.900000000000000000e+01 1.131247313287630889e-02 3.528121673161049299e-01
3.000000000000000000e+01 1.264587123397080404e-02 6.683550221499960919e-01
3.100000000000000000e+01 1.197447775544095878e-02 5.138662517180336842e-01
3.200000000000000000e+01 1.559998269072655590e-02 1.262879170979414489e+00
3.300000000000000000e+01 1.074162217791213743e-02 2.061774460000468656e-01
3.400000000000000000e+01 1.028561891051720141e-02 8.333171440427648846e-02
3.500000000000000000e+01 1.052891338323599588e-02 1.495368501039164577e-01
3.600000000000000000e+01 1.072848219355885396e-02 2.027111387052016322e-01
3.700000000000000000e+01 1.095835423983943825e-02 2.627472477533842055e-01
3.800000000000000000e+01 9.997619614377529010e-03 2.906980748919504084e-03
3.900000000000000000e+01 1.064768515795046742e-02 1.813032435603244563e-01
4.000000000000000000e+01 9.353229969145983314e-03 -1.857684886207005004e-01
4.100000000000000000e+01 1.029858202359451233e-02 8.689853830959479164e-02
4.200000000000000000e+01 1.018291174175374458e-02 5.491171598754056998e-02
4.300000000000000000e+01 9.369403336789518255e-03 -1.808758859298570942e-01
4.400000000000000000e+01 1.063889460202307319e-02 1.789643158773042975e-01
4.500000000000000000e+01 1.050326603325415706e-02 1.426302430151866474e-01
4.600000000000000000e+01 1.017947537965945698e-02 5.395589503033079021e-02
4.700000000000000000e+01 9.011967308814945038e-03 -2.910251237398473467e-01
4.800000000000000000e+01 9.688206055128784772e-03 -8.612125930117352224e-02
