# t/tauB Gp_mPa
2.900000000000000000e+01 3.447836217642435974e-02
3.900000000000000000e+01 1.365792960225874486e-01
4.900000000000000000e+01 6.104121750535540514e-02
5.900000000000000000e+01 6.318931816863683493e-02
6.900000000000000000e+01 6.579988688514880335e-02
7.900000000000000000e+01 2.403075435881263655e-01
8.900000000000000000e+01 3.606747228287043167e-02
9.900000000000000000e+01 6.616816662966534812e-02
1.990000000000000000e+02 1.409123390570607148e-01
2.990000000000000000e+02 1.595283817845858654e-01
4.130000000000000000e+02 2.564014161447916162e-01
4.430000000000000000e+02 1.355294965599650181e-01
4.730000000000000000e+02 1.052441921312114170e-01
5.030000000000000000e+02 1.448538799140688393e-01
5.630000000000000000e+02 4.217356843789793475e-01
5.930000000000000000e+02 4.783021346427470677e-01
6.230000000000000000e+02 1.508142307849097863e+00
6.530000000000000000e+02 2.178894772236429578e+00
6.830000000000000000e+02 2.756842934883796836e+00
9.830000000000000000e+02 4.121654387467591718e+00
1.283000000000000000e+03 6.951171146357509656e+00
