# t/tauB Gpp_mPa
0.000000000000000000e+00 6.974041104625582355e-01
1.000000000000000000e+00 5.973416165719976911e-01
2.000000000000000000e+00 5.496903025574174650e-01
3.000000000000000000e+00 5.603012608018802521e-01
4.000000000000000000e+00 5.531762633898968939e-01
5.000000000000000000e+00 5.080016053986625701e-01
6.000000000000000000e+00 5.832690640446904773e-01
7.000000000000000000e+00 4.997643970309618155e-01
8.000000000000000000e+00 4.368988170165933327e-01
9.000000000000000000e+00 4.696623069955832008e-01
1.900000000000000000e+01 4.739082599373038440e-01
2.900000000000000000e+01 5.169146702549274330e-01
3.900000000000000000e+01 6.477408063599613408e-01
4.900000000000000000e+01 6.747867887012740651e-01
5.900000000000000000e+01 6.183069551404900555e-01
6.900000000000000000e+01 5.364341479325677176e-01
7.900000000000000000e+01 6.534505490532817040e-01
8.900000000000000000e+01 7.222273995109941280e-01
9.900000000000000000e+01 7.564969629786053584e-01
1.990000000000000000e+02 1.111791726910562161e+00
2.990000000000000000e+02 1.434414648713113083e+00
4.130000000000000000e+02 1.865416416973612490e+00
4.430000000000000000e+02 2.007788624425172586e+00
4.730000000000000000e+02 2.048165692458959519e+00
5.030000000000000000e+02 2.087736316342888365e+00
5.330000000000000000e+02 2.275305429174547811e+00
5.630000000000000000e+02 2.507903517191009790e+00
5.930000000000000000e+02 2.901746326146796839e+00
6.230000000000000000e+02 3.270415624444676261e+00
6.530000000000000000e+02 3.022587534928945274e+00
6.830000000000000000e+02 3.036798695911852697e+00
9.830000000000000000e+02 3.933438877623665508e+00
1.283000000000000000e+03 2.193355609768646186e+00
