# t/tauB rate Stress_mPa
0.000000000000000000e+00 6.398348813209493724e-02 5.628679542065444075e+00
1.000000000000000000e+00 6.285988483685220340e-02 5.578507370772133989e+00
2.000000000000000000e+00 4.781054512957998159e-02 4.803526870142273530e+00
3.000000000000000000e+00 4.466098254161591369e-02 4.610544983880896730e+00
4.000000000000000000e+00 4.014869888475836729e-02 4.308919818809116009e+00
5.000000000000000000e+00 4.084411164057182020e-02 4.357550815443425485e+00
6.000000000000000000e+00 4.304429195258889507e-02 4.506131470718091059e+00
7.000000000000000000e+00 3.278221208665906689e-02 3.734884526602924026e+00
8.000000000000000000e+00 3.638709677419355026e-02 4.030330396919471703e+00
9.000000000000000000e+00 2.486253884771694872e-02 2.951799519185534404e+00
1.000000000000000000e+01 2.480070859167404773e-02 2.944748165975651144e+00
1.100000000000000000e+01 2.183227912670883397e-02 2.583731356717259953e+00
1.200000000000000000e+01 2.391345606376921520e-02 2.841579852797117667e+00
1.300000000000000000e+01 2.244788882950294120e-02 2.662477717828343859e+00
1.400000000000000000e+01 2.052144659377628383e-02 2.408383431708671640e+00
1.500000000000000000e+01 1.600768368817032106e-02 1.704937305255066260e+00
1.600000000000000000e+01 1.839185286517707948e-02 2.098113884111385996e+00
1.700000000000000000e+01 1.409678825752070860e-02 1.344942262379878128e+00
1.800000000000000000e+01 1.571268237934904735e-02 1.652262299953248359e+00
1.900000000000000000e+01 1.420911528150134093e-02 1.367418096831327201e+00
2.000000000000000000e+01 1.368624919302775973e-02 1.261244722954723008e+00
2.100000000000000000e+01 1.559965056782728135e-02 1.631817001123999189e+00
2.200000000000000000e+01 1.161383982579240227e-02 7.962650314582582212e-01
2.300000000000000000e+01 1.225776325005836949e-02 9.490794456432071202e-01
2.400000000000000000e+01 1.362179487179487197e-02 1.247876657442970050e+00
2.500000000000000000e+01 1.436045864410553236e-02 1.397421463702496869e+00
2.600000000000000000e+01 1.148429035752979339e-02 7.644985087041242799e-01
2.700000000000000000e+01 1.426910474579854218e-02 1.379348884027165489e+00
2.800000000000000000e+01 1.316872427983539068e-02 1.152083945854580849e+00
2.900000000000000000e+01 1.192160032329763614e-02 8.703314970556531582e-01
3.000000000000000000e+01 1.336766016437270985e-02 1.194544516789513233e+00
3.100000000000000000e+01 1.247220342260466075e-02 9.981928248847017349e-01
3.200000000000000000e+01 1.275751275751275775e-02 1.062244198024020481e+00
3.300000000000000000e+01 1.169644501749861863e-02 8.163359799035239117e-01
3.400000000000000000e+01 9.490238611713665631e-03 2.244110307460007170e-01
3.500000000000000000e+01 1.127385707944962220e-02 7.121268648385544742e-01
3.600000000000000000e+01 1.030567685589519646e-02 4.578469151995517294e-01
3.700000000000000000e+01 1.286780475250922165e-02 1.086621393140090985e+00
3.800000000000000000e+01 1.031189248584227919e-02 4.595543888649883391e-01
3.900000000000000000e+01 1.330340068179928538e-02 1.180898556947507672e+00
4.000000000000000000e+01 1.192518173650249091e-02 8.711821079988737448e-01
4.100000000000000000e+01 9.985504912224191232e-03 3.684714547847837696e-01
4.200000000000000000e+01 1.044634377967711310e-02 4.962392536661476283e-01
4.300000000000000000e+01 8.489096573208723337e-03 -9.129134053383190783e-02
4.400000000000000000e+01 1.100412654745529586e-02 6.435493463925915369e-01
4.500000000000000000e+01 9.661106498603667936e-03 2.749444871861386752e-01
4.600000000000000000e+01 1.092774308652988413e-02 6.238236771328131702e-01
4.700000000000000000e+01 7.118221178542599205e-03 -5.900571156806043716e-01
4.800000000000000000e+01 9.128450336883286650e-03 1.143416874915588605e-01
4.900000000000000000e+01 7.808022922636103334e-03 -3.281245308055036336e-01
5.000000000000000000e+01 8.733624454148471161e-03 -1.087170204966908006e-02
5.100000000000000000e+01 8.146497702269878474e-03 -2.079495568567472363e-01
5.200000000000000000e+01 9.358012798458680004e-03 1.846773662915255354e-01
5.300000000000000000e+01 1.005298193180274337e-02 3.875435727392650409e-01
5.400000000000000000e+01 9.137942619095612909e-03 1.172849174743573752e-01
5.500000000000000000e+01 8.971291866028708109e-03 6.516235447951691795e-02
5.600000000000000000e+01 9.064634787178140612e-03 9.447487198618619020e-02
5.700000000000000000e+01 8.556981719175418832e-03 -6.873550663441974073e-02
5.800000000000000000e+01 8.115942028985507692e-03 -2.185913051678284591e-01
5.900000000000000000e+01 7.593159775395610066e-03 -4.071455001626433923e-01
6.000000000000000000e+01 9.272692865703651907e-03 1.587397207904687746e-01
6.100000000000000000e+01 9.249999999999999542e-03 1.518008028872774584e-01
6.200000000000000000e+01 7.617042358186771993e-03 -3.982524042189459768e-01
6.300000000000000000e+01 9.658292071642520654e-03 2.741193945753818695e-01
6.400000000000000000e+01 8.682980144513935405e-03 -2.734098539924295634e-02
6.500000000000000000e+01 8.667910672365015251e-03 -3.226005182200742533e-02
6.600000000000000000e+01 8.334325514942255569e-03 -1.433980895551941470e-01
6.700000000000000000e+01 8.502096002834032273e-03 -8.695815949297810987e-02
6.800000000000000000e+01 7.117228398329509750e-03 -5.904521076268101076e-01
6.900000000000000000e+01 6.901751536944670390e-03 -6.775133269435371641e-01
7.000000000000000000e+01 8.583690987124463490e-03 -5.990997677478895195e-02
7.100000000000000000e+01 8.583447021373351998e-03 -5.999046591321574584e-02
7.200000000000000000e+01 7.331378299120235031e-03 -5.065003047514188284e-01
7.300000000000000000e+01 7.669913783450900933e-03 -3.786635946417015175e-01
7.400000000000000000e+01 6.902310047314222027e-03 -6.772841712419108706e-01
7.500000000000000000e+01 7.133772051097716366e-03 -5.838771560001506655e-01
7.600000000000000000e+01 9.309457313400142792e-03 1.699454200217657696e-01
7.700000000000000000e+01 6.925509870214854001e-03 -6.677816756540118082e-01
7.800000000000000000e+01 7.706501682405296483e-03 -3.651867103345588506e-01
7.900000000000000000e+01 1.017168074915236059e-02 4.207847507474926085e-01
8.000000000000000000e+01 7.189226889854605750e-03 -5.619484011918661759e-01
