Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
-3	0.0001115945	0.0011147029	0.0266100273	5.375225507	0.0699210392
-2.8333333333	0.0001099746	0.0008790243	0.0260544554	5.263	0.0709421647
-2.6666666667	0.0001103752	0.0008822232	0.0257206077	5.1955627462	0.0706848171
-2.5	0.0001103264	0.0011020498	0.0256643122	5.1841910651	0.0707220422
-2.3333333333	0.0001105949	0.0011047282	0.0271777951	5.4899146168	0.0705527499
-2.1666666667	0.0001121201	0.0011199462	0.0260084464	5.2537061637	0.0695906553
-2	0.0001118692	0.0008941545	0.0270887806	5.4719336847	0.0697425569
-1.8333333333	0.0001118317	0.0011170688	0.0269497608	5.4438516905	0.069773942
-1.6666666667	0.0001117316	0.0013389868	0.0273762365	5.529999774	0.0698443372
-1.5	0.0001118317	0.0011170688	0.0272324031	5.5009454202	0.0697638071
-1.3333333333	0.0001115697	0.0006689709	0.0246090465	4.9710273838	0.0699185826
-1.1666666667	0.0001115822	0.0006690455	0.0246464374	4.9785803448	0.0699106948
-1	0.0001116694	0.0006695681	0.0256884456	5.1890660046	0.0698570423
-0.8333333333	0.000112095	0.0006721183	0.0253360046	5.1178729224	0.0695918502
-0.6666666667	0.0001112223	0.000666889	0.0265434102	5.3617688546	0.0701391733
-0.5	0.0001107419	0.0006640106	0.0250861496	5.0674022191	0.0704414699
-0.3333333333	0.0001107051	0.0006637902	0.0248982493	5.0294463662	0.070465118
-0.1666666667	0.0001109877	0.0011086475	0.0265835123	5.3698694817	0.070305329
-6.10622663543836E-016	0.0001120196	0.0011189437	0.0263265542	5.3179639574	0.069654671
0.1666666667	0.000110754	0.0013272868	0.0270031742	5.4546411889	0.0704608561
0.3333333333	0.0001111972	0.0017760018	0.0275344286	5.5619545849	0.0702037664
0.5	0.000111346	0.0013343712	0.027573228	5.5697920518	0.0700909
0.6666666667	0.0001113208	0.0022214817	0.0274559404	5.5460999585	0.0701442777
0.8333333333	0.00011137	0.0028872848	0.0275292776	5.5609140661	0.0701386765
1	0.0001115317	0.0026696329	0.027714329	5.5982944501	0.0700327555
1.1666666667	0.0001116308	0.0033377837	0.0278006136	5.6157239515	0.0699931513
1.3333333333	0.00011222	0.002686066	0.0277360755	5.6026872528	0.0695923467
1.5	0.0001124462	0.0040318065	0.0277586905	5.6072554757	0.0695063497
1.6666666667	0.0001122312	0.0044692737	0.0276930032	5.5939866518	0.0696624646
1.8333333333	0.0001120408	0.0057912908	0.0406774029	8.2168353826	0.06988349
2	0.0001126206	0.0060422961	0.0419119113	8.4662060894	0.0695632255
2.1666666667	0.0001119157	0.0055635919	0.0428193869	8.6495161618	0.0699390917
2.3333333333	0.0001121892	0.0075715399	0.0277857105	5.6127135213	0.0698190535
2.5	0.00011224	0.0073537604	0.027815849	5.6188014959	0.0697775341
2.6666666667	0.000111863	0.0073276341	0.0404799942	8.1769588189	0.0700420197
2.8333333333	0.0001121637	0.0077907624	0.0277786546	5.6112882254	0.0698514156
3	0.0001121239	0.008668593	0.0402729511	8.1351361298	0.0699312074
3.1666666667	0.0001124868	0.0100211558	0.0417544745	8.4344038402	0.0697431002
3.3333333333	0.0001127475	0.0118040089	0.0415729023	8.3977262593	0.0697442095
3.5	0.0001125779	0.0135450205	0.0440195988	8.8919589619	0.0698600185
3.6666666667	0.0001134245	0.0123194087	0.0422850921	8.5415886046	0.0693357844
3.8333333333	0.0001132129	0.0142809327	0.0409121904	8.264262468	0.0695298755
4	0.0001134605	0.0132079696	0.0413475841	8.3522119861	0.0693454993
4.1666666667	0.0001133109	0.0153897625	0.0411300849	8.308277151	0.0695672849
4.3333333333	0.0001139061	0.0152517663	0.0410720367	8.2965514079	0.0691616777
4.5	0.0001140977	0.0161616162	0.0407186016	8.2251575178	0.0690649978
4.6666666667	0.0001144897	0.0193106545	0.0407616418	8.2338516518	0.0689577938
4.8333333333	0.0001146925	0.0208871421	0.0404631125	8.1735487323	0.0689128731
5	0.000114881	0.022232203	0.0437008192	8.827565488	0.0689130933
5.1666666667	0.000115071	0.0253249664	0.0409175211	8.2653392633	0.0690162009
5.3333333333	0.0001156105	0.0260938027	0.0404989402	8.1807859257	0.0687177543
