"t" "all" "top" "bottom"
0 1.3432192574 1.6084238946 1.1649349728
0.1666666667 1.3360002701 1.5752090276 1.1803552806
0.3333333333 1.3371328443 1.5512886907 1.1825060914
0.5 1.3441617544 1.5297835365 1.1802457201
0.6666666667 1.3423099323 1.508824471 1.1786237019
0.8333333333 1.3430268659 1.4855363468 1.1820009136
1 1.3421422723 1.464565549 1.1792777106
1.1666666667 1.3315202988 1.4510621065 1.1783075582
1.3333333333 1.3166535193 1.4349798726 1.1809696418
1.5 1.3084119822 1.4147520895 1.1739542335
1.6666666667 1.2966351926 1.4020108515 1.1768838308
1.8333333333 1.2878232592 1.3723992524 1.179106214
2 1.2815343277 1.3681170576 1.1745092713
2.1666666667 1.2689172978 1.3291526554 1.1823259459
2.3333333333 1.2753834175 1.343236678 1.1816792355
2.5 1.2778839359 1.3388069425 1.201540352
2.6666666667 1.2714149885 1.3332873215 1.1803017783
2.8333333333 1.268407156 1.3006530753 1.2012406796
3 1.2651649587 1.3065870011 1.2059702649
3.1666666667 1.2564371448 1.3049764442 1.2040041001
3.3333333333 1.2552075716 1.3008477989 1.1967938579
